date,description,amount
2024-01-01,Payroll Deposit - ABC Company,3500.00
2024-01-02,Whole Foods Market #234,-87.45
2024-01-02,Starbucks Coffee,-5.75
2024-01-03,Shell Gas Station,-52.30
2024-01-03,Amazon.com Purchase,-129.99
2024-01-04,Netflix Subscription,-15.99
2024-01-04,CVS Pharmacy,-24.50
2024-01-05,Uber Ride to Airport,-45.20
2024-01-05,Chipotle Mexican Grill,-12.85
2024-01-06,Electric Bill - PG&E,-145.67
2024-01-07,Target Store #1234,-78.90
2024-01-08,McDonald's Drive Thru,-8.45
2024-01-08,Costco Wholesale,-234.56
2024-01-09,Spotify Premium,-9.99
2024-01-10,Doctor Visit Copay,-35.00
2024-01-11,Trader Joe's,-54.32
2024-01-12,Lyft Ride Downtown,-18.75
2024-01-13,AMC Movie Theater,-32.50
2024-01-14,Safeway Grocery,-91.23
2024-01-15,PayPal Transfer In - Refund,45.00
2024-01-15,Hulu Streaming Service,-14.99
2024-01-16,Walgreens Pharmacy,-18.90
2024-01-17,Internet Bill - Comcast,-89.99
2024-01-18,Panera Bread Cafe,-15.60
2024-01-19,Chevron Gas Station,-48.75
2024-01-20,Disney+ Subscription,-7.99
2024-01-21,eBay Purchase - Electronics,-156.00
2024-01-22,Parking Garage Downtown,-15.00
2024-01-23,Steam Game Purchase,-59.99
2024-01-24,Walmart Supercenter,-67.89
2024-01-25,Phone Bill - Verizon,-85.00
2024-01-26,Doordash Food Delivery,-28.45
2024-01-27,Hospital Emergency Room,-250.00
2024-01-28,Coffee Bean & Tea Leaf,-6.25
2024-01-29,Water Bill - City Utilities,-45.30
2024-01-30,Apple Store Purchase,-899.00
2024-01-31,Dental Cleaning,-120.00
2024-02-01,Salary Deposit,3500.00
2024-02-02,Kroger Supermarket,-102.45
2024-02-03,Dunkin Donuts,-4.50
2024-02-04,76 Gas Station,-55.60
2024-02-05,Best Buy Electronics,-345.99
2024-02-06,YouTube Premium,-11.99
2024-02-07,Rite Aid Pharmacy,-31.25
2024-02-08,Uber Eats Order,-34.50
2024-02-09,Five Guys Burgers,-18.90
2024-02-10,Gas & Electric Bill,-167.80
2024-02-11,Macy's Department Store,-156.00
2024-02-12,Taco Bell Drive Thru,-9.75
2024-02-13,Sam's Club Membership,-45.00
2024-02-14,Amazon Music Unlimited,-8.99
2024-02-15,Urgent Care Visit,-75.00
2024-02-16,Albertsons Grocery,-88.67
2024-02-17,Metro Transit Pass,-100.00
2024-02-18,Regal Cinemas,-28.00
2024-02-19,Publix Supermarket,-76.54
2024-02-20,Venmo Transfer In,100.00
2024-02-21,HBO Max Subscription,-15.99
2024-02-22,CVS MinuteClinic,-40.00
2024-02-23,Cable TV Bill - Spectrum,-129.99
2024-02-24,Subway Sandwich Shop,-12.35
2024-02-25,Arco Gas Station,-42.90
2024-02-26,Twitch Subscription,-4.99
2024-02-27,Etsy Handmade Purchase,-67.50
2024-02-28,City Parking Meter,-8.00
2024-02-29,PlayStation Store,-29.99
2024-03-01,Paycheck Direct Deposit,3500.00
2024-03-02,Aldi Grocery Store,-58.90
2024-03-03,Peet's Coffee,-7.25
2024-03-04,Valero Gas Station,-51.20
2024-03-05,GameStop Purchase,-89.99
2024-03-06,Crunchyroll Anime,-7.99
2024-03-07,Pharmacy Co-pay - Generic,-10.00
2024-03-08,Grubhub Delivery,-41.75
2024-03-09,Olive Garden Restaurant,-56.80
2024-03-10,Electric Company Bill,-152.40
2024-03-11,Nordstrom Shopping,-234.50
2024-03-12,Wendy's Fast Food,-11.20
2024-03-13,BJ's Wholesale Club,-187.65
2024-03-14,Audible Subscription,-14.95
2024-03-15,Medical Lab Work,-85.00
2024-03-16,Food Lion Grocery,-94.32
2024-03-17,Parking Violation Fine,-65.00
2024-03-18,Cinemark Theater,-24.50
2024-03-19,Stop & Shop Market,-81.25
2024-03-20,Tax Refund Deposit,850.00
2024-03-21,Paramount+ Streaming,-4.99
2024-03-22,Dental X-Ray,-95.00
2024-03-23,Internet Upgrade Fee,-15.00
2024-03-24,Chick-fil-A,-13.45
2024-03-25,Exxon Gas Station,-49.85
2024-03-26,Nintendo eShop,-39.99
2024-03-27,Amazon Prime Membership,-14.99
2024-03-28,City Parking Ticket,-125.00
2024-03-29,Epic Games Store,-19.99
2024-03-30,H-E-B Grocery,-72.60
2024-03-31,Blue Bottle Coffee,-8.50
2024-04-01,Monthly Salary,3500.00
2024-04-02,Wegmans Food Market,-115.80
2024-04-03,Dutch Bros Coffee,-5.25
2024-04-04,Circle K Gas,-46.70
2024-04-05,Micro Center Tech,-456.00
2024-04-06,Peacock Premium,-5.99
2024-04-07,Pharmacy - Brand Name,-45.00
2024-04-08,Postmates Delivery,-37.90
2024-04-09,Red Lobster Dinner,-78.50
2024-04-10,Utility Bill - Multi-service,-198.75
2024-04-11,Kohl's Shopping,-89.99
2024-04-12,Burger King,-7.85
2024-04-13,Costco Gas Station,-68.90
2024-04-14,Apple TV+ Subscription,-6.99
2024-04-15,Specialist Doctor Visit,-150.00
2024-04-16,Sprouts Farmers Market,-67.45
2024-04-17,Subway Monthly Pass,-110.00
2024-04-18,IMAX Movie Experience,-22.00
2024-04-19,Giant Eagle Supermarket,-98.70
2024-04-20,Freelance Payment Received,500.00
2024-04-21,Discovery+ Streaming,-4.99
2024-04-22,Medical Prescription,-28.50
2024-04-23,Phone Upgrade Fee,-35.00
2024-04-24,Qdoba Mexican Eats,-14.75
2024-04-25,BP Gas Station,-53.40
2024-04-26,Roblox Purchase,-9.99
2024-04-27,Wayfair Furniture,-678.00
2024-04-28,Airport Parking - 3 Days,-72.00
2024-04-29,Xbox Game Pass,-14.99
2024-04-30,Smart & Final,-84.25
2024-05-01,Payroll Direct Deposit,3500.00
2024-05-02,Safeway Select,-109.60
2024-05-03,Philz Coffee,-6.75
2024-05-04,Speedway Gas,-44.30
2024-05-05,Newegg Electronics,-289.99
2024-05-06,ESPN+ Sports,-9.99
2024-05-07,Hospital Outpatient,-180.00
2024-05-08,Uber Eats Late Night,-31.20
2024-05-09,Outback Steakhouse,-92.40
2024-05-10,Combined Utilities Bill,-215.90
2024-05-11,JCPenney Store,-124.50
2024-05-12,Sonic Drive-In,-10.95
2024-05-13,Wholesale Club Purchase,-203.45
2024-05-14,Adobe Creative Cloud,-52.99
2024-05-15,Emergency Room Visit,-500.00
2024-05-16,Natural Grocers,-71.80
2024-05-17,Commuter Rail Pass,-95.00
2024-05-18,Alamo Drafthouse Cinema,-35.50
2024-05-19,Raley's Supermarket,-87.90
2024-05-20,Bonus Payment Received,1000.00
2024-05-21,Apple Arcade,-4.99
2024-05-22,Urgent Care Copay,-50.00
2024-05-23,Cable Internet Bundle,-149.99
2024-05-24,Jersey Mike's Subs,-16.25
2024-05-25,Marathon Gas Station,-57.80
2024-05-26,Discord Nitro,-9.99
2024-05-27,Target Online Order,-156.70
2024-05-28,Concert Parking Fee,-40.00
2024-05-29,Battle.net Purchase,-29.99
2024-05-30,WinCo Foods,-63.40
2024-05-31,La Colombe Coffee,-7.95
2024-06-01,Salary Deposit,3500.00
2024-06-02,Vons Grocery Store,-118.25
2024-06-03,Black Rifle Coffee,-8.50
2024-06-04,Racetrac Gas,-48.90
2024-06-05,B&H Photo Video,-567.00
2024-06-06,Funimation Streaming,-7.99
2024-06-07,Dental Crown Procedure,-800.00
2024-06-08,DoorDash Group Order,-67.50
2024-06-09,Texas Roadhouse,-68.90
2024-06-10,Summer Electric Bill,-245.60
2024-06-11,Ross Dress for Less,-78.40
2024-06-12,Arby's Roast Beef,-12.60
2024-06-13,Membership Warehouse,-156.80
2024-06-14,Dropbox Plus,-11.99
2024-06-15,Physical Therapy Session,-65.00
2024-06-16,Whole Foods 365,-95.70
2024-06-17,Toll Road Charges,-18.50
2024-06-18,Showcase Cinema,-19.00
2024-06-19,ShopRite Supermarket,-104.35
2024-06-20,Investment Dividend,250.00
2024-06-21,MAX Streaming Service,-15.99
2024-06-22,Vision Exam Copay,-25.00
2024-06-23,Fiber Internet Upgrade,-99.99
2024-06-24,Jimmy John's Sandwiches,-15.80
2024-06-25,QuikTrip Gas Station,-52.15
2024-06-26,Patreon Subscriptions,-15.00
2024-06-27,Wayfair Home Decor,-234.50
2024-06-28,Event Parking Downtown,-25.00
2024-06-29,Origin Games Purchase,-39.99
2024-06-30,Grocery Outlet,-58.90